food_id,name,category,kcal,protein_g,carb_g,fat_g,notes
pollo_pechuga,"Pechuga de pollo (cocida, sin piel)",PROTEIN,165,31.0,0.0,3.6,
arroz_blanco_cocido,"Arroz blanco cocido",CARB,130,2.7,28.0,0.3,
aceite_oliva,"Aceite de oliva virgen extra",FAT_FLEX,884,0.0,0.0,100.0,"Ajuste fino de grasa"
avena,"Copos de avena",CARB,389,16.9,66.3,6.9,
leche_semidesnatada,"Leche semidesnatada",MIXED,50,3.4,5.0,1.7,
platano,"Plátano",CARB,89,1.1,23.0,0.3,
yogur_griego_ligero,"Yogur griego natural (ligero)",MIXED,90,9.0,4.0,4.0,
nueces,"Nueces",FAT,654,15.2,13.7,65.2,
salmon,"Salmón (a la plancha)",PROTEIN,208,22.1,0.0,13.4,
patata_cocida,"Patata cocida",CARB,87,1.9,20.1,0.1,
pan_integral,"Pan integral",CARB,247,13.0,41.0,4.2,
mantequilla_cacahuete,"Mantequilla de cacahuete",FAT,588,25.0,20.0,50.0,
huevo,"Huevo (entero, cocido)",MIXED,155,13.0,1.1,11.0,
atun_lata_escurrido,"Atún al natural (lata, escurrido)",PROTEIN,116,26.0,0.0,1.0,
pasta_cocida,"Pasta cocida",CARB,157,5.8,30.9,0.9,
queso_fresco_batido_0,"Queso fresco batido 0%",MIXED,44,8.0,3.5,0.2,
corn_flakes,"Corn Flakes",CARB,357,7.0,84.0,0.4,
crema_cacahuete,"Crema de cacahuete",FAT,588,25.0,20.0,50.0,
proteina_polvo_whey,"Proteína en polvo (whey)",PROTEIN,400,80.0,7.0,6.0,"Aprox por 100 g"
claras_liquidas,"Claras líquidas pasteurizadas",PROTEIN,47,10.9,0.7,0.2,
crema_arroz,"Crema de arroz (instantánea)",CARB,360,7.0,80.0,1.0,
pasta_seca,"Pasta (seca)",CARB,350,12.0,72.0,1.5,
arroz_blanco_seco,"Arroz blanco (seco)",CARB,360,7.0,80.0,0.6,
ternera_picada_magra,"Ternera picada magra (≤4% grasa)",PROTEIN,140,21.0,0.0,4.0,
noquis,"Ñoquis",CARB,150,4.0,30.0,1.5,
pescado_blanco,"Pescado blanco (merluza, bacalao…)",PROTEIN,80,18.0,0.0,1.0,
queso_semicurado,"Queso semicurado",MIXED,402,26.0,0.1,33.0,
guacamole,"Guacamole",FAT,160,2.0,9.0,14.0,
pavo_lonchas,"Pechuga de pavo en lonchas",PROTEIN,110,23.0,1.0,2.0,
tortitas_maiz_arroz,"Tortitas de maíz/arroz",CARB,386,8.0,80.0,2.0,
frutos_secos_mixtos,"Frutos secos mixtos",FAT,600,18.0,20.0,50.0,
ternera_filete_magra,"Filete de ternera magra",PROTEIN,150,22.0,0.0,6.0,
hamburguesa_magra,"Hamburguesa magra (≤4% grasa)",PROTEIN,140,20.0,0.0,5.0,
yogur_proteina,"Yogur alto en proteína",MIXED,60,10.0,3.0,0.3,
arandanos,"Arándanos",CARB,57,0.7,14.0,0.3,
